country,region,govSeat2016,govSeat2017,govSeats2018,GDP2016,GDP2017,GDP2018,GDPperCap2016,GDPperCap2017,GDPperCap2018,govEduExp2016,govEduExp2017,govEduExp2018
Post-demographic dividend,,28.5858147587102,29.7310072487288,30.3028169014085,45382709162116,47254338522135.4,50023566077996.2,41182.4280377386,42724.0824887603,45066.3864630919,..,..,..
Pre-demographic dividend,,21.833139219935,22.535427270292,22.2535408872261,1220907452742.51,1304089254135.53,1312866909305.48,1403.4323743111,1457.87669385646,1427.8279125479,3.99468994140625,..,..
Puerto Rico,Latin America & Caribbean,..,..,..,104336700000,104250200000,101130900000,30628.7547758033,31353.4341794183,31651.3481514031,..,..,..
Qatar,Middle East & North Africa,0,0,9.8,151732142857.143,166928571428.571,192009340659.341,57163.0609918357,61264.3964777979,69026.4688025751,..,2.85226988792419,..
Romania,Europe & Central Asia,13.7,20.7,20.7,188494136775.719,211406933991.363,239552516744.469,9567.0977819133,10792.9562796666,12301.1864034302,..,..,..
Russian Federation,Europe & Central Asia,12.7,15.8,15.8,1282723881083.71,1578624060588.26,1657553765580.67,8745.37511648808,10750.5871197198,11288.8724435206,..,..,..
Rwanda,Sub-Saharan Africa,63.8,61.3,61.3,8475681532.52169,9135454442.14013,9509003196.73999,726.353048999624,762.499163641385,772.967838382225,3.53978991508484,3.2056999206543,..
Samoa,East Asia & Pacific,10,10,10,786640012.24318,841538412.998896,861494700.74813,4043.69399975932,4307.80546397731,4392.46775479595,4.08104991912842,..,..
San Marino,Europe & Central Asia,16.7,26.7,26.7,1564380530.97345,1632860040.56795,..,46692.3510916145,48494.5514112427,..,..,..,..
Sao Tome and Principe,Sub-Saharan Africa,18.2,18.2,18.2,347545391.785,375040173.816889,422296762.322469,1710.13394767919,1811.00963265499,2001.14090226164,5.07532978057861,4.85713005065918,..
Saudi Arabia,Middle East & North Africa,19.9,19.9,19.9,644935541440,688586133333.333,782483466666.667,19879.2975304177,20803.7425657324,23219.1304831033,..,..,..
Senegal,Sub-Saharan Africa,42.7,41.8,41.8,19027392875.8489,21081669870.0624,24129599551.8342,1269.04040702421,1367.21894802796,1521.9535542169,6.62560987472534,6.1956000328064,..
Serbia,Europe & Central Asia,34,34.4,34.4,40630392018.541,44120424391.86,50508366849.6463,5756.38119351044,6284.192671588,7233.99587424704,3.8617799282074,..,..
Seychelles,Sub-Saharan Africa,21.2,21.2,21.2,1427524565.30226,1503168689.81984,1590180446.19384,15077.8390242853,15683.6564988559,16433.9352865158,4.4183201789856,..,..
Sierra Leone,Sub-Saharan Africa,12.4,12.4,12.3,3674794530.18956,3739577973.23943,3999945202.44328,501.415712857832,499.38070781976,522.858128404118,3.06023001670837,4.63672018051147,..
Singapore,East Asia & Pacific,23.8,23,23,318068476293.883,338406474038.67,364156657769.87,56724.1703858863,60297.7937806208,64581.9440183954,..,..,..
Sint Maarten (Dutch part),Latin America & Caribbean,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,Europe & Central Asia,20,20,20,89848359304.5293,95617670260.1145,106472189680.752,16544.2278104487,17579.2593991421,19546.9019028513,..,..,..
Slovenia,Europe & Central Asia,36.7,36.7,24.4,44641210338.2514,48455919386.0505,54235484383.0673,21617.5798546719,23449.5745165237,26234.0228962506,..,..,..
Small states,,17.2318304431599,17.7362763915547,18.2454961832061,442920183862.366,483622746147.494,535692556049.443,11298.8194116751,12125.1629561174,13202.4231194485,..,..,..
Solomon Islands,East Asia & Pacific,2,2,4,1232699140.37163,1321131090.73503,1411904531.44787,1990.0314969426,2077.12603765032,2162.65180398781,..,..,..
Somalia,Sub-Saharan Africa,13.8,24.4,24.4,6839998517.02752,7128000000,7484000000.00001,482.178564791491,488.583306503977,498.662260528511,..,..,..
South Africa,Sub-Saharan Africa,41.8,42,42.3,295746599723.99,348871647962.321,366298209834.58,5262.05288581397,6120.5068002413,6339.57435433862,5.94058990478516,6.12534999847412,..
South Asia,,19.4064502875924,19.408096999589,18.2569662387066,2920085235751.32,3347712176123.4,3457801122272.87,1648.67847916526,1867.27224804395,1905.76640960073,3.47508001327515,3.36706995964051,..
South Asia (IDA & IBRD),,19.4064502875924,19.408096999589,18.2569662387066,2920085235751.32,3347712176123.4,3457801122272.87,1648.67847916526,1867.27224804395,1905.76640960073,3.47508001327515,3.36706995964051,..
South Sudan,Sub-Saharan Africa,28.5,28.5,28.5,3070885014.08113,..,..,283.487801728826,..,..,1.49687004089355,0.981149971485138,..
Spain,Europe & Central Asia,39.1,39.1,39.1,1237499479181.11,1314314164402.2,1426189137596.58,26622.2991436203,28208.2610532181,30523.8592390474,..,..,..
Sri Lanka,South Asia,5.8,5.8,5.8,82401038709.5356,88019706803.834,88900770857.6351,3886.29150165239,4104.63098320435,4102.48135014467,3.47508001327515,2.80738997459412,..
St. Kitts and Nevis,Latin America & Caribbean,13.3,13.3,13.3,958973183.222222,992007403.125926,1039875050.37037,18575.7517331181,19060.5707200677,19829.4283169728,..,..,..
